# mock_x mock_y
1.000000e-01 6.793314e+01
1.575758e-01 6.390636e+01
2.151515e-01 6.334520e+01
2.727273e-01 9.373631e+01
3.303030e-01 9.755795e+01
3.878788e-01 1.176000e+02
4.454545e-01 1.127270e+02
5.030303e-01 6.904814e+01
5.606061e-01 6.805879e+01
6.181818e-01 1.204583e+02
6.757576e-01 1.088330e+02
7.333333e-01 6.777279e+01
7.909091e-01 -2.742400e-01
8.484848e-01 1.411380e+02
9.060606e-01 1.815003e+02
9.636364e-01 1.433103e+02
1.021212e+00 1.711796e+02
1.078788e+00 1.337196e+02
1.136364e+00 1.015035e+02
1.193939e+00 1.263739e+02
1.251515e+00 1.027783e+02
1.309091e+00 1.112540e+02
1.366667e+00 1.662252e+02
1.424242e+00 1.787810e+02
1.481818e+00 1.646981e+02
1.539394e+00 1.867671e+02
1.596970e+00 2.002998e+02
1.654545e+00 1.545464e+02
1.712121e+00 2.604110e+02
1.769697e+00 1.223959e+02
1.827273e+00 1.404422e+02
1.884848e+00 2.121031e+02
1.942424e+00 1.624561e+02
2.000000e+00 1.789034e+02
