# mock_x mock_y
1.000000e-01 1.024810e+02
1.575758e-01 5.958412e+01
2.151515e-01 5.262114e+01
2.727273e-01 7.464754e+01
3.303030e-01 8.928541e+01
3.878788e-01 9.387891e+01
4.454545e-01 8.708349e+01
5.030303e-01 8.463116e+01
5.606061e-01 9.006995e+01
6.181818e-01 1.129350e+02
6.757576e-01 1.069740e+02
7.333333e-01 1.187823e+02
7.909091e-01 1.049269e+02
8.484848e-01 1.166114e+02
9.060606e-01 9.856360e+01
9.636364e-01 1.151401e+02
1.021212e+00 1.333712e+02
1.078788e+00 1.324819e+02
1.136364e+00 1.379401e+02
1.193939e+00 1.525851e+02
1.251515e+00 1.608887e+02
1.309091e+00 1.287709e+02
1.366667e+00 1.364036e+02
1.424242e+00 1.718544e+02
1.481818e+00 1.727461e+02
1.539394e+00 1.672461e+02
1.596970e+00 1.846439e+02
1.654545e+00 1.771677e+02
1.712121e+00 1.701131e+02
1.769697e+00 1.656499e+02
1.827273e+00 1.946653e+02
1.884848e+00 1.835637e+02
1.942424e+00 1.940389e+02
2.000000e+00 1.826062e+02
