# mock_x mock_y
1.000000e-01 1.004336e+02
1.575758e-01 5.934420e+01
2.151515e-01 1.152929e+02
2.727273e-01 6.956981e+01
3.303030e-01 6.856663e+01
3.878788e-01 8.416509e+01
4.454545e-01 4.250974e+01
5.030303e-01 1.130728e+02
5.606061e-01 1.060522e+02
6.181818e-01 6.502765e+01
6.757576e-01 7.602205e+01
7.333333e-01 1.019209e+02
7.909091e-01 1.264292e+02
8.484848e-01 1.069840e+02
9.060606e-01 1.001032e+02
9.636364e-01 1.303975e+02
1.021212e+00 1.158987e+02
1.078788e+00 1.500000e+02
1.136364e+00 1.244416e+02
1.193939e+00 1.280265e+02
1.251515e+00 1.418284e+02
1.309091e+00 1.293795e+02
1.366667e+00 1.549345e+02
1.424242e+00 1.411001e+02
1.481818e+00 6.451436e+01
1.539394e+00 1.834080e+02
1.596970e+00 1.886227e+02
1.654545e+00 2.656722e+02
1.712121e+00 1.982300e+02
1.769697e+00 1.714778e+02
1.827273e+00 2.178165e+02
1.884848e+00 1.956147e+02
1.942424e+00 2.344438e+02
2.000000e+00 2.238937e+02
